id,action,branch,date
H1001,Accompanied S555,Senate,2022-03-07T05:00:00.000Z
H1002,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1002,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1002,Hearing scheduled for 12/07/2021 from 01:00 PM-04:00 PM in Virtual Hearing,Joint,2021-11-30T17:43:55.473Z
H1002,"Reporting date extended to Thursday March 31, 2022, pending concurrence",House,2022-02-07T16:30:10.047Z
H1002,Senate concurred,Senate,2022-03-03T16:11:18.947Z
H1002,"Reporting date extended to Thursday May 12, 2022, pending concurrence",House,2022-04-04T15:29:49.097Z
H1002,Senate concurred,Senate,2022-04-28T15:11:37.320Z
H1002,"Accompanied a new draft, see H4784",House,2022-05-16T17:35:48.443Z
H1003,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1003,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1003,Hearing scheduled for 12/07/2021 from 01:00 PM-04:00 PM in Virtual Hearing,Joint,2021-11-30T17:43:55.893Z
H1004,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1004,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1004,Hearing scheduled for 11/03/2021 from 02:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-27T17:06:45.160Z
H1005,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1005,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1005,Hearing scheduled for 11/03/2021 from 02:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-27T17:06:45.597Z
H1006,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1006,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1006,Hearing scheduled for 11/03/2021 from 02:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-27T17:06:45.987Z
H1007,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1007,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1007,Hearing scheduled for 05/18/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-05-11T16:50:31.467Z
H1007,"Reporting date extended to Thursday March 31, 2022, pending concurrence",House,2022-02-07T16:30:10.047Z
H1007,Senate concurred,Senate,2022-03-03T16:11:18.947Z
H1007,"Reporting date extended to Thursday May 12, 2022, pending concurrence",House,2022-04-04T15:29:49.097Z
H1007,Senate concurred,Senate,2022-04-28T15:11:37.320Z
H1007,"Accompanied a new draft, see S2880",Senate,2022-05-16T04:00:00.000Z
H1008,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1008,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1008,Hearing scheduled for 11/03/2021 from 02:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-27T17:06:46.267Z
H1009,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1009,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1009,Hearing scheduled for 06/08/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-06-01T17:12:05.307Z
H1009,"Accompanied a new draft, see H4598",House,2022-03-28T15:28:18.697Z
H101,"Referred to the committee on House Rules, reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Transportation",House,2021-04-01T04:00:00.000Z
H101,Senate concurred,Senate,2021-04-08T15:09:56.737Z
H101,Hearing scheduled for 01/19/2022 from 03:00 PM-06:00 PM in Virtual Hearing,Joint,2022-01-11T16:11:48.670Z
H101,"Reporting date extended to Friday March 25, 2022, pending concurrence",House,2022-02-09T16:42:05.327Z
H101,Senate concurred,Senate,2022-03-17T15:18:55.540Z
H1010,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1010,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1010,Hearing scheduled for 05/18/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-05-11T16:50:34.183Z
H1011,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1011,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1011,Hearing scheduled for 10/13/2021 from 02:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-05T18:16:42.090Z
H1012,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1012,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1012,Hearing scheduled for 11/03/2021 from 02:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-27T17:06:46.800Z
H1013,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1013,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1013,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:04.607Z
H1013,Accompanied H1014,House,2022-03-09T05:00:00.000Z
H1014,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1014,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1014,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:05.010Z
H1014,Accompanied by H1013,House,2022-03-09T05:00:00.000Z
H1014,"Bill reported favorably by committee and referred to the committee on Rules of the two branches, acting concurrently",House,2022-03-09T05:00:00.000Z
H1014,Committee recommended ought to pass and referred to the committee on House Ways and Means,House,2022-04-11T15:27:32.660Z
H1015,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1015,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1015,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:05.357Z
H1016,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1016,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1016,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:05.620Z
H1017,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1017,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1017,Hearing scheduled for 11/03/2021 from 02:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-27T17:06:47.207Z
H1017,"Accompanied a new draft, see H4599",House,2022-03-28T15:27:47.010Z
H1018,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1018,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1018,Hearing scheduled for 05/18/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-05-11T16:50:33.887Z
H1018,"Accompanied a new draft, see H4597",House,2022-03-28T15:27:36.370Z
H1019,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1019,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1019,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:05.980Z
H102,"Reported from the committee on Bonding, Capital Expenditures and State Assets",House,2021-04-12T04:00:00.000Z
H102,Pending new draft of H96,House,2021-04-12T04:00:00.000Z
H102,Rejected,House,2021-04-14T04:00:00.000Z
H1020,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1020,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1020,Hearing scheduled for 10/13/2021 from 02:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-05T18:16:42.543Z
H1021,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1021,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1021,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:06.340Z
H1022,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1022,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1022,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:06.607Z
H1023,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1023,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1023,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:07.027Z
H1024,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1024,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1024,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:07.310Z
H1024,Accompanied H991,House,2022-03-24T12:51:00.563Z
H1025,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1025,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1025,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:07.653Z
H1025,Accompanied S552,Senate,2022-03-07T05:00:00.000Z
H1026,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1026,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1026,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:08.010Z
H1027,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1027,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1027,Hearing scheduled for 12/07/2021 from 01:00 PM-04:00 PM in Virtual Hearing,Joint,2021-11-30T17:43:56.237Z
H1028,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1028,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1028,Hearing scheduled for 05/04/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-04-27T14:22:42.547Z
H1028,Accompanied S544,Senate,2021-11-03T04:00:00.000Z
H1029,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1029,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1029,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:08.293Z
H103,"Referred to the committee on Advanced Information Technology, the Internet and Cybersecurity",House,2021-03-30T03:59:59.000Z
H103,Senate concurred,House,2021-03-30T03:59:59.000Z
H103,Hearing scheduled for 10/27/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-18T17:53:19.117Z
H1030,"Referred to the committee on Environment, Natural Resources and Agriculture",House,2021-03-29T14:50:09.363Z
H1030,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1030,Hearing scheduled for 01/04/2022 from 01:00 PM-06:00 PM in Virtual Hearing,Joint,2021-12-28T15:18:08.560Z
H1031,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1031,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1031,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:19.117Z
H1031,Bill reported favorably by committee and referred to the committee on House Ways and Means,House,2022-03-29T15:39:09.060Z
H1032,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1032,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1032,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:20.240Z
H1032,Bill reported favorably by committee and referred to the committee on House Ways and Means,House,2022-03-29T15:39:11.577Z
H1033,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1033,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1033,Hearing scheduled for 09/15/2021 from 10:00 AM-02:00 PM in Virtual Hearing,Joint,2021-08-24T15:46:28.363Z
H1034,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1034,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1034,Hearing scheduled for 10/26/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-13T18:35:05.777Z
H1034,Bill reported favorably by committee and referred to the committee on House Ways and Means,House,2022-03-07T21:35:16.757Z
H1035,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1035,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1035,Hearing scheduled for 10/26/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-13T18:35:06.540Z
H1035,"Bill reported favorably by committee and referred to the committee on House Steering, Policy and Scheduling",House,2022-03-07T21:38:36.537Z
H1035,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading,House,2022-05-17T18:36:54.917Z
H1036,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1036,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1036,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:20.977Z
H1037,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1037,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1037,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:21.600Z
H1037,"Bill reported favorably by committee and referred to the committee on House Steering, Policy and Scheduling",House,2022-03-29T15:39:55.750Z
H1037,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading,House,2022-05-17T18:36:49.353Z
H1038,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1038,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1038,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:41.100Z
H1038,"Reporting date extended to Saturday April 30, 2022, pending concurrence",House,2022-02-03T16:34:49.437Z
H1038,Senate concurred,Senate,2022-03-24T15:13:45.787Z
H1038,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-05-09T17:19:22.513Z
H1038,Committee recommended bill ought to pass and referred to the committee on House Ways and Means,House,2022-06-06T15:55:56.143Z
H1039,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1039,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1039,Hearing scheduled for 07/27/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-07-15T15:03:01.780Z
H1039,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-03-29T15:40:37.450Z
H1039,"Reporting date extended to Wednesday June 1, 2022, pending concurrence",House,2022-03-31T15:21:04.400Z
H1039,Senate concurred,Senate,2022-05-26T15:16:46.257Z
H104,"Referred to the committee on Advanced Information Technology, the Internet and Cybersecurity",House,2021-03-30T03:59:59.000Z
H104,Senate concurred,House,2021-03-30T03:59:59.000Z
H104,Hearing scheduled for 10/27/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-10-18T17:53:23.087Z
H1040,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1040,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1040,Hearing scheduled for 10/12/2021 from 11:00 AM-04:00 PM in Virtual Hearing,Joint,2021-09-28T14:39:47.703Z
H1040,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-03-29T15:40:39.920Z
H1040,"Reporting date extended to Wednesday June 1, 2022, pending concurrence",House,2022-03-31T15:21:04.400Z
H1040,Senate concurred,Senate,2022-05-26T15:16:46.257Z
H1041,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1041,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1041,Hearing scheduled for 07/27/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-07-15T15:03:04.813Z
H1041,"Discharged to the committee on Mental Health, Substance Use and Recovery",House,2021-10-12T04:00:00.000Z
H1041,Senate concurred,Senate,2021-10-14T15:17:01.943Z
H1041,Hearing scheduled for 11/22/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-11-02T17:16:58.160Z
H1041,"Reporting date extended to Monday May 9, 2022, pending concurrence",House,2022-02-09T16:43:23.233Z
H1041,Senate concurred,Senate,2022-03-24T15:13:45.787Z
H1041,"Reporting date extended to Tuesday May 31, 2022, pending concurrence",House,2022-05-12T15:22:57.250Z
H1041,Senate concurred,Senate,2022-05-26T15:02:40.903Z
H1041,"Reporting date extended to Thursday June 30, 2022, pending concurrence",House,2022-06-02T15:54:17.937Z
H1041,Senate concurred,Senate,2022-06-29T04:00:00.000Z
H1041,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-07-07T16:42:37.197Z
H1042,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1042,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1042,Hearing scheduled for 12/09/2021 from 11:00 AM-04:00 PM in Virtual Hearing,Joint,2021-11-29T19:16:38.113Z
H1042,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-03-29T15:40:48.107Z
H1042,"Reporting date extended to Wednesday June 1, 2022, pending concurrence",House,2022-03-31T15:21:04.400Z
H1042,Senate concurred,Senate,2022-05-26T15:16:46.257Z
H1043,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1043,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1043,Hearing scheduled for 11/09/2021 from 11:00 AM-04:00 PM in Virtual Hearing,Joint,2021-10-26T15:14:37.087Z
H1043,"Reporting date extended to Saturday April 30, 2022, pending concurrence",House,2022-02-03T16:34:11.373Z
H1043,Senate concurred,Senate,2022-03-24T15:13:45.787Z
H1043,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-05-09T17:19:25.607Z
H1044,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1044,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1044,Hearing scheduled for 10/12/2021 from 11:00 AM-04:00 PM in Virtual Hearing,Joint,2021-09-28T14:40:19.373Z
H1044,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-03-29T15:40:50.733Z
H1044,"Reporting date extended to Wednesday June 1, 2022, pending concurrence",House,2022-03-31T15:21:04.400Z
H1044,Senate concurred,Senate,2022-05-26T15:16:46.257Z
H1044,Accompanied S700,Senate,2022-06-09T04:00:00.000Z
H1045,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1045,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1045,Hearing scheduled for 11/09/2021 from 11:00 AM-04:00 PM in Virtual Hearing,Joint,2021-10-26T15:14:30.167Z
H1045,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-03-29T15:40:54.890Z
H1045,"Reporting date extended to Wednesday June 1, 2022, pending concurrence",House,2022-03-31T15:21:04.400Z
H1045,Senate concurred,Senate,2022-05-26T15:16:46.257Z
H1046,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1046,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1046,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:28:06.583Z
H1046,"Bill reported favorably by committee and referred to the committee on House Steering, Policy and Scheduling",House,2022-03-07T21:38:37.893Z
H1046,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading,House,2022-05-17T18:36:43.540Z
H1047,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1047,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1047,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:22.257Z
H1048,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1048,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1048,Hearing scheduled for 09/15/2021 from 10:00 AM-02:00 PM in Virtual Hearing,Joint,2021-08-24T15:46:29.097Z
H1048,"Reporting date extended to Thursday June 30, 2022, pending concurrence",House,2022-02-03T16:34:34.657Z
H1048,Senate concurred,Senate,2022-03-24T15:13:45.787Z
H1049,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1049,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1049,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:22.990Z
H105,"Referred to the committee on Advanced Information Technology, the Internet and Cybersecurity",House,2021-03-30T03:59:59.000Z
H105,Senate concurred,House,2021-03-30T03:59:59.000Z
H105,Hearing scheduled for 10/13/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-09-30T20:32:22.417Z
H105,Hearing scheduled for 10/13/2021 from 01:00 PM-05:00 PM in Virtual Hearing,Joint,2021-09-30T20:43:16.567Z
H1050,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1050,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1050,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:42.350Z
H1050,Bill reported favorably by committee and referred to the committee on House Ways and Means,House,2022-03-29T15:39:19.577Z
H1051,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1051,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1051,Hearing scheduled for 10/26/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-13T18:35:07.150Z
H1052,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1052,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1052,Hearing scheduled for 10/26/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-13T18:35:07.697Z
H1052,"Reporting date extended to Saturday April 30, 2022, pending concurrence",House,2022-02-03T16:34:27.593Z
H1052,Senate concurred,Senate,2022-03-24T15:13:45.787Z
H1052,"Reporting date extended to Tuesday May 31, 2022, pending concurrence",House,2022-05-02T15:28:53.470Z
H1052,Senate concurred,Senate,2022-05-24T20:17:24.750Z
H1052,"Reporting date extended to Thursday June 30, 2022, pending concurrence",House,2022-05-31T15:16:19.820Z
H1053,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1053,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1053,Hearing scheduled for 09/21/2021 from 10:00 AM-03:00 PM in Virtual Hearing,Joint,2021-09-14T14:26:05.707Z
H1053,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-03-29T15:40:57.950Z
H1053,"Reporting date extended to Wednesday June 1, 2022, pending concurrence",House,2022-03-31T15:21:04.400Z
H1053,Senate concurred,Senate,2022-05-26T15:16:46.257Z
H1054,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1054,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1054,Hearing scheduled for 10/26/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-13T18:35:08.650Z
H1055,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1055,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1055,Hearing scheduled for 09/21/2021 from 10:00 AM-03:00 PM in Virtual Hearing,Joint,2021-09-14T14:26:16.783Z
H1055,"Reporting date extended to Saturday April 30, 2022, pending concurrence",House,2022-02-03T16:34:11.373Z
H1055,Senate concurred,Senate,2022-03-24T15:13:45.787Z
H1055,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-05-09T17:19:28.797Z
H1056,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1056,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1056,Hearing scheduled for 11/09/2021 from 11:00 AM-04:00 PM in Virtual Hearing,Joint,2021-10-26T15:14:20.010Z
H1056,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-03-29T15:41:02.450Z
H1056,"Reporting date extended to Wednesday June 1, 2022, pending concurrence",House,2022-03-31T15:21:04.400Z
H1056,Senate concurred,Senate,2022-05-26T15:16:46.257Z
H1057,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1057,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1057,Hearing scheduled for 07/27/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-07-15T15:03:07.937Z
H1057,Reported favorably by committee and referred to the committee on Health Care Financing,House,2022-03-29T15:41:05.327Z
H1057,"Reporting date extended to Wednesday June 1, 2022, pending concurrence",House,2022-03-31T15:21:04.400Z
H1057,Senate concurred,Senate,2022-05-26T15:16:46.257Z
H1058,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1058,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1058,Hearing scheduled for 10/20/2021 from 11:00 AM-03:00 PM in Virtual Hearing,Joint,2021-10-08T17:27:43.460Z
H1059,Referred to the committee on Financial Services,House,2021-03-29T14:50:09.363Z
H1059,Senate concurred,Senate,2021-03-30T03:59:59.000Z
H1059,Hearing scheduled for 09/21/2021 from 10:00 AM-03:00 PM in Virtual Hearing,Joint,2021-09-14T14:26:17.800Z
