,action_id,action,prediction,action_type
19205,19206,Placed in the Orders of the Day for the next session,uncategorized,['chamber business']
20039,20040,"Ought NOT to pass (under Joint Rule 10) and placed in the Orders of the Day for the next sitting, the question being on acceptance",uncategorized,['committee report' 'chamber business']
21225,21226,"Committee reported that the matter be placed in the Orders of the Day for Thursday, May 5, 2022 with an amendment, inserting in place thereof the text of S2851",uncategorized,['committee report' 'chamber business' 'amendment']
21586,21587,"Placed in the Orders of the day for Thursday, April 14, 2022",uncategorized,['chamber business']
21656,21657,"Read second, ordered to a third reading, rules suspended and read third",uncategorized,['chamber business']
21764,21765,"Ordered to a third reading, rules suspended and read third",uncategorized,['chamber business']
22323,22324,"Ordered to a third reading, rules suspended, read third",uncategorized,['chamber business']
22764,22765,Ordered to a third reading - 156 YEAS to 0 NAYS (See YEA and NAY No. 169),uncategorized,['chamber business']
22793,22794,"Placed in the Orders of the Day for Tuesday, May 24, 2022 pursuant to an order previously adopted",uncategorized,['chamber business' 'adopted']
23488,23489,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading with the amendments pending,uncategorized,['committee report' 'chamber business' 'amendment']
23917,23918,Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendments pending,uncategorized,['committee report' 'chamber business' 'amendment']
25805,25806,"Read second, amended and ordered to a third reading",uncategorized,['chamber business' 'amended']
25998,25999,"Read second, ordered to a third reading, rules suspended, read third (title changed), amended and passed to be engrossed",engrossment,['chamber business' 'amended' 'engrossment']
26196,26197,"Read second, ordered to a third reading, rules suspended, read third, and passed to be engrossed",engrossment,['chamber business' 'engrossment']
26441,26442,"Read, rules suspended, read second, ordered to a third reading, read third (title changed) and passed to be engrossed",engrossment,['chamber business' 'engrossment']
26663,26664,"Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendment pending, question on ordering to a third reading",uncategorized,['committee report' 'chamber business' 'amendment']
26778,26779,"Read second, amended (as recommended by the committee on Ways and Means), ordered to a third reading",uncategorized,['chamber business' 'amended' 'chamber_committee']
28434,28435,Ought NOT to pass (under Joint Rule 10) and placed in the Orders of the Day for the next session,uncategorized,['committee report' 'chamber business']
29496,29497,"Committee reported that the matter be placed in the Orders of the Day for Thursday January 13, 2022 with an amendment, substituting a new draft, see S2616",uncategorized,['bill redirect' 'committee report' 'chamber business' 'amendment']
30307,30308,Bill reported favorably by committee and placed in the Orders of the Day for the next session,uncategorized,['committee report' 'chamber business']
30511,30512,Bill reported favorably by committee as changed and placed in the Orders of the Day for the next session,uncategorized,['committee report' 'chamber business']
34378,34379,"Committee reported that the matter be placed in the Orders of the Day for the next session with an amendment, substituting therefor a new draft, see S2704",uncategorized,['bill redirect' 'committee report' 'chamber business' 'amendment']
36594,36595,Committee recommended ought to be adopted and placed in the Orders of the Day for the next session,uncategorized,['committee report' 'chamber business' 'adopted']
36803,36804,Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendment (H3872) pending,uncategorized,['committee report' 'chamber business' 'amendment']
36805,36806,"Read second, amended by substitution of a new text (H3872) and ordered to a third reading",uncategorized,['bill redirect' 'chamber business' 'amended']
36919,36920,"Read second, amended (as recommended by the committee on House Ways and Means) and ordered to a third reading",uncategorized,['chamber business' 'amended' 'chamber_committee']
37092,37093,"Committee reported that the matter be placed in the Orders of the Day for Thursday, October 21, 2021",uncategorized,['committee report' 'chamber business']
37246,37247,"Read third, amended by substitution of a new text (H4433) and passed to be engrossed",engrossment,['bill redirect' 'chamber business' 'amended' 'engrossment']
37588,37589,"Read and placed in Orders of the Day for Wednesday, October 27, 2021",uncategorized,['chamber business']
37611,37612,"Read; rules suspended, read second, ordered to a third reading, rules suspended, read third and passed to be engrossed",engrossment,['chamber business' 'engrossment']
37703,37704,Read second and ordered to a third reading.,uncategorized,['chamber business']
37785,37786,Read third and passed to be engrossed - see Roll Call #102 (Yeas 38 – Nays 0),engrossment,['chamber business' 'engrossment']
39241,39242,"Ordered to a third reading, read third and passed to be engrossed",engrossment,['chamber business' 'engrossment']
42193,42194,"Read second, amended, ordered to a third reading, read third (title changed) and passed to be engrossed",engrossment,['chamber business' 'amended' 'engrossment']
42873,42874,"Read second, ordered to a third reading, read a third time and passed to be engrossed",engrossment,['chamber business' 'engrossment']
45124,45125,"Committee reported that the matter be placed in the Orders of the Day for the next session with an amendment, substituting a new draft, see S2956",uncategorized,['bill redirect' 'committee report' 'chamber business' 'amendment']
