action_id,action,prediction,action_type
107193,"Reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Health Care Financing",referred,committee_report
107540,Committee reported that the matter be placed in the Orders of the Day for a second reading with the amendment pending,uncategorized,committee_report
107676,Committee recommended ought to be adopted,uncategorized,committee_report
107848,"Reported, referred to the committee on Joint Rules, rules suspended and referred to the committee on Public Service",referred,committee_report
108076,"Committee recommended ought to pass with an amendment, substituting therefore a bill, see H3977",uncategorized,committee_report
108346,Bill reported favorably and referred to the committee on Senate Rules,referred,committee_report
108461,"The following items and sections severally reported from committee on House Ways and Means recommending, in each instance, that the action of the General Court stand; and the items and sections severally were referred to the committee on House Steering, Policy and Scheduling",referred,committee_report
108462,"Committee reported, in each instance, that the matter be scheduled for consideration; and Rule 7A suspended, in each instance",uncategorized,committee_report
109427,Order reported favorably by committee and referred to the committee on Joint Rules,referred,committee_report
110034,"Reported, rules suspended and referred to the committee on Housing",referred,committee_report
110429,Reported from the committee on Health Care Financing,uncategorized,committee_report
111153,"Ought NOT to pass (under Joint Rule 10) and placed in the Orders of the Day for the next sitting, the question being on acceptance",uncategorized,committee_report
111553,Committee reported ought to be adopted,uncategorized,committee_report
112339,"Committee reported that the matter be placed in the Orders of the Day for Thursday, May 5, 2022 with an amendment, inserting in place thereof the text of S2851",uncategorized,committee_report
112698,"Committee recommended ought to pass with an amendment, inserting in place there of the text of S2819",uncategorized,committee_report
113693,Committee recommended ought to pass and referred to the committee on Senate Ways and Means,referred,committee_report
113702,"Resolution reported favorably by committee and referred to the committee on House Steering, Policy and Scheduling",referred,committee_report
113786,Reported from the committee on Housing,uncategorized,committee_report
114177,"Reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Mental Health, Substance Use and Recovery",referred,committee_report
114396,"Reported, referred to the committee on Joint Rules, reported, rules suspended and referred to the committee on Housing",referred,committee_report
114599,Committee recommended ought to pass and referred to the committee on House Ways and Means with the amendment pending,referred,committee_report
114602,Committee reported that the matter be placed in the Orders of the Day for the next sitting for a second reading with the amendments pending,uncategorized,committee_report
115028,"Committee reported, in part, ought to pass with an amendment, substituting therefor a bill, see H5007",uncategorized,committee_report
115031,Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendments pending,uncategorized,committee_report
115045,"Reported from the committee on Bonding, Capital Expenditures and Assets",uncategorized,committee_report
115480,"Reported from the committee on Mental Health, Substance Use and Recovery",uncategorized,committee_report
115927,Committee recommended ought to pass with an amendment striking out all after the enacting clause and inserting in place thereof the text of S3018,uncategorized,committee_report
116141,Reported from the committee on House Ways and,uncategorized,committee_report
116247,Reported (in part) by S3084,uncategorized,committee_report
117151,Reported from the temporary committee on House Rules,uncategorized,committee_report
117777,"Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendment pending, question on ordering to a third reading",uncategorized,committee_report
117891,Committee recommended ought to pass with amendment,uncategorized,committee_report
117954,Proposal for Constitutional Amendment reported adversely by committee and placed on file,uncategorized,committee_report
118056,Proposal for Constitutional Amendment reported favorably by committee and placed on file,uncategorized,committee_report
118100,Ought NOT to pass (under Joint Rule 23) and placed on file,uncategorized,committee_report
119396,Reported from the Temporary Committee on Rules,uncategorized,committee_report
119548,Ought NOT to pass (under Joint Rule 10) and placed in the Orders of the Day for the next session,uncategorized,committee_report
119550,Bill reported favorably by committee and referred to the committee on Senate Ways and Means,referred,committee_report
119655,Bill reported favorably by committee as changed and referred to the committee on Senate Ways and Means,referred,committee_report
119801,Bill reported favorably by committee as changed and referred to the committee on Health Care Financing,referred,committee_report
120574,Bill reported favorably by committee and referred to the committee on Senate Rules,referred,committee_report
120610,"Committee reported that the matter be placed in the Orders of the Day for Thursday January 13, 2022 with an amendment, substituting a new draft, see S2616",uncategorized,committee_report
120613,"Committee recommended ought to pass with an amendment, substituting therefor a new draft, see S2616",uncategorized,committee_report
120741,Resolve reported favorably by committee and referred to the committee on Senate Ways and Means,referred,committee_report
120912,"Committee recommended ought to pass with an amendment, substituting a new draft, see S2572",uncategorized,committee_report
121128,"Bill reported favorably by committee as changed and referred to the committee on Rules of the two branches, acting concurrently",referred,committee_report
121421,Bill reported favorably by committee and placed in the Orders of the Day for the next session,uncategorized,committee_report
121625,Bill reported favorably by committee as changed and placed in the Orders of the Day for the next session,uncategorized,committee_report
121812,"Committee recommended ought to be adopted, striking out the text of Senate, No. 14 and inserting in place thereof the text of House, No. 68, as amended",uncategorized,committee_report
121820,Reported in part by S39,uncategorized,committee_report
122075,"Committee recommended ought to pass with an amendment, substituting thereof a new draft, see S2730",uncategorized,committee_report
122385,Bill reported favorably by committee,uncategorized,committee_report
124168,Ought NOT to pass (under JR10),uncategorized,committee_report
125492,"Committee reported that the matter be placed in the Orders of the Day for the next session with an amendment, substituting therefor a new draft, see S2704",uncategorized,committee_report
126729,"Committee recommended ought to pass with an amendment, substituting therefore a new draft, see S2533",uncategorized,committee_report
127408,Resolutions reported favorably by committee,uncategorized,committee_report
127409,Resolution reported favorably by committee and referred to the committee on Senate Rules,referred,committee_report
127642,Reported from the committee on Senate Ways and Means,uncategorized,committee_report
127708,Committee recommended ought to be adopted and placed in the Orders of the Day for the next session,uncategorized,committee_report
127916,"Committee recommended ought to pass with an amendment and referred to the committee on House Steering, Policy and Scheduling",referred,committee_report
127917,Committee reported that the matter be placed in the Orders of the Day for the next sitting with the amendment (H3872) pending,uncategorized,committee_report
127928,"Reported in part, S2475",uncategorized,committee_report
128029,"Committee recommended ought to pass with amendments striking out all after the enacting clause and inserting the text of H4194, inserting an emergency preamble and striking out the title and inserting a new title",uncategorized,committee_report
128101,"Reported from the committee on Senate Ways and Means (reported Friday, July 2, 2021)",uncategorized,committee_report
128206,"Committee reported that the matter be placed in the Orders of the Day for Thursday, October 21, 2021",uncategorized,committee_report
128342,"Order reported favorably by committee and referred to the committee on Rules of the two branches, acting concurrently",referred,committee_report
128374,"Committee recommended ought to pass with an amendment , substituting a new draft, see S2557",uncategorized,committee_report
128424,Committee reported favorably and referred to the committee on Senate Rules,referred,committee_report
128471,"Bill reported favorably and referred to the committee on Rules of the two branches, acting concurrently",referred,committee_report
128640,Bill reported favorably and referred to the committee on Senate Ways and Means,referred,committee_report
128700,Reported from the Special Joint Committee on Redistricting,uncategorized,committee_report
129059,Reported from the committee on Senate Rules,uncategorized,committee_report
129258,Reported from the committee on Rules,uncategorized,committee_report
129292,Bill reported favorably as changed and referred to the committee on Senate Rules,referred,committee_report
129498,Reported form the committee on Senate Ways and Means,uncategorized,committee_report
129606,Reported from the committee on the Consumer Protection and Professional Licensure,uncategorized,committee_report
129803,"Reported in part, see S2467",uncategorized,committee_report
131963,Governor's amendment as reported from the committee on Bills in the Third Reading,uncategorized,committee_report
132268,Billreported favorably by committee,uncategorized,committee_report
132413,Reported by committee of conference,uncategorized,committee_report
135346,"Committee recommended ought to pass with an amendment substituting a new draft, S2651",uncategorized,committee_report
136238,"Committee reported that the matter be placed in the Orders of the Day for the next session with an amendment, substituting a new draft, see S2956",uncategorized,committee_report
